,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2016-11-11 23:59:00+00:00,0.31131203648380906,-0.031038011019973943,,0.011055165330461136,3.6102467175966695e-18,,0.0,2502.5553306002585,7187.0645592,7187.0645592,-0.032038011019973944,0.7417282247330915,-0.18776786733666528,7187.0645592,7187.0645592,1,-0.05896690993997424,0.7492569052793556,0.7417282247330915,[],2016-11-11 23:59:00+00:00,2016-11,2016-11-11 00:00:00+00:00,18.064587299999403,9689.619889800259,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 718.70645592}]",0.001867805821813313,-2.1712452730186875,0,0,0,-2.43424426090337,2502.5553306002585,7168.999971900001,7168.999971900001,11,[],0.001
2016-11-12 23:59:00+00:00,0.30140162321228875,-0.04470153723997394,,0.012066220495791535,3.595297391612143e-18,,0.0,2502.5553306002585,7050.429297000001,7050.429297000001,-0.045701537239973944,0.7380341926469834,-0.24406041904401116,7050.429297000001,7050.429297000001,1,-0.05896690993997424,0.7492569052793556,0.7380341926469834,[],2016-11-12 23:59:00+00:00,2016-11,2016-11-12 00:00:00+00:00,-136.6352621999995,9552.984627600259,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 705.0429297000001}]",-0.014101199402447983,-3.0382453364723245,0,0,0,-3.347015555460591,2502.5553306002585,7187.0645592,7187.0645592,12,[],0.001
2016-11-13 23:59:00+00:00,0.2886492187707687,-0.04963939305997389,,0.013078286716287302,7.165583942981724e-18,,0.0,2502.5553306002585,7001.0507388,7001.0507388,-0.05063939305997389,0.7366730783741137,-0.2613368890129226,7001.0507388,7001.0507388,1,-0.05896690993997424,0.7492569052793556,0.7366730783741137,[],2016-11-13 23:59:00+00:00,2016-11,2016-11-13 00:00:00+00:00,-49.37855820000004,9503.606069400259,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 700.10507388}]",-0.005168914232033481,-3.2755625169100107,0,0,0,-3.5834808978507464,2502.5553306002585,7050.429297000001,7050.429297000001,13,[],0.001
2016-11-14 23:59:00+00:00,0.2814931849153498,-0.04239446693997384,,0.014091365003003453,7.144352536483005e-18,,0.0,2502.5553306002585,7073.5,7073.5,-0.04339446693997384,0.7386653225986122,-0.22215930481238094,7073.5,7073.5,1,-0.05896690993997424,0.7492569052793556,0.7386653225986122,[],2016-11-14 23:59:00+00:00,2016-11,2016-11-14 00:00:00+00:00,72.44926119999946,9576.055330600258,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 707.35}]",0.007623344304355356,-2.631443695634489,0,0,0,-2.9134201734336274,2502.5553306002585,7001.0507388,7001.0507388,14,[],0.001
2016-11-15 23:59:00+00:00,0.27237358361127434,-0.03944446693997383,,0.01510545636800642,7.126103841197012e-18,,0.0,2502.5553306002585,7103.000000000001,7103.000000000001,-0.04044446693997383,0.7394679178383463,-0.20620700558905175,7103.000000000001,7103.000000000001,1,-0.05896690993997424,0.7492569052793556,0.7394679178383463,[],2016-11-15 23:59:00+00:00,2016-11,2016-11-15 00:00:00+00:00,29.5,9605.555330600258,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 710.3000000000001}]",0.0030806004123360513,-2.3482348775588533,0,0,0,-2.6039298913538347,2502.5553306002585,7073.5,7073.5,15,[],0.001
2016-11-16 23:59:00+00:00,0.3013841193361589,-0.006317913689973809,,0.01612056182437427,7.110250420355455e-18,,0.0,2502.5553306002585,7434.2655325,7434.2655325,-0.007317913689973809,0.7481533213612277,-0.0644718243304561,7434.2655325,7434.2655325,1,-0.05896690993997424,0.7492569052793556,0.7481533213612277,[],2016-11-16 23:59:00+00:00,2016-11,2016-11-16 00:00:00+00:00,331.2655324999996,9936.820863100258,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 743.42655325}]",0.03448686943113976,-0.1873162180806951,0,0,0,-0.23737385075398382,2502.5553306002585,7103.000000000001,7103.000000000001,16,[],0.001
2016-11-17 23:59:00+00:00,0.2921666039413644,-0.010244466939973829,,0.017136682386198476,7.09634962422419e-18,,0.0,2502.5553306002585,7395.0,7395.0,-0.01124446693997383,0.747154196464746,-0.078419291018622,7395.0,7395.0,1,-0.05896690993997424,0.7492569052793556,0.747154196464746,[],2016-11-17 23:59:00+00:00,2016-11,2016-11-17 00:00:00+00:00,-39.26553249999961,9897.555330600258,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 739.5}]",-0.003951518603481081,-0.3823460750771703,0,0,0,-0.4831107627794888,2502.5553306002585,7434.2655325,7434.2655325,17,[],0.001
2016-11-18 23:59:00+00:00,0.2877622842207936,0.002455533060026216,,0.018153819068584598,7.084061563707576e-18,,0.0,2502.5553306002585,7522.0,7522.0,0.001455533060026216,0.7503574724196361,-0.03893587945709923,7522.0,7522.0,1,-0.05896690993997424,0.7503574724196361,0.7503574724196361,[],2016-11-18 23:59:00+00:00,2016-11,2016-11-18 00:00:00+00:00,127.0,10024.555330600258,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 752.2}]",0.012831451379448647,0.25763489865317474,0,0,0,0.32992092354133873,2502.5553306002585,7395.0,7395.0,18,[],0.001
2016-11-19 23:59:00+00:00,0.2797131969181267,0.0011755338900261147,,0.019171972887653155,7.073120921559066e-18,,0.0,2502.5553306002585,7509.2000083,7509.2000083,0.00017553389002611473,0.7500383053832045,-0.04474904854395866,7509.2000083,7509.2000083,1,-0.05896690993997424,0.7503574724196361,0.7500383053832045,[],2016-11-19 23:59:00+00:00,2016-11,2016-11-19 00:00:00+00:00,-12.799991699999737,10011.755338900259,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 750.92000083}]",-0.0012768637887535395,0.1905536891580444,0,0,0,0.24363744068884638,2502.5553306002585,7522.0,7522.0,19,[],0.001
2016-11-20 23:59:00+00:00,0.2805756344538457,-0.01774446692997378,,0.020191144860540744,7.063317561447098e-18,,0.0,2502.5553306002585,7320.0000001,7320.0000001,-0.01874446692997378,0.7452235954549874,-0.0986701229268663,7320.0000001,7320.0000001,1,-0.05896690993997424,0.7503574724196361,0.7452235954549874,[],2016-11-20 23:59:00+00:00,2016-11,2016-11-20 00:00:00+00:00,-189.2000081999995,9822.55533070026,"[{'sid': Trading Pair btc_usdt(374465) Exchange: poloniex, Introduced On: 2015-02-19 00:00:00+00:00, Base Currency: btc, Quote Currency: usdt, Exchange Leverage: 1.0, Minimum Trade Size: 0.0001 Last daily ingestion: 2019-04-23 00:00:00+00:00 Last minutely ingestion: 2019-04-23 00:00:00+00:00, 'amount': 10, 'cost_basis': 749.7444669399741, 'last_sale_price': 732.00000001}]",-0.018897785832307622,-0.6681861001651699,0,0,0,-0.8387001325979626,2502.5553306002585,7509.2000083,7509.2000083,20,[],0.001
